23.4e+9,80.0
23.5e+9,57.7
23.6e+9,54.3
23.7e+9,52.6
23.8e+9,53.3
23.9e+9,51.3
24.0e+9,49.6
24.1e+9,49.6
24.2e+9,51.6
24.3e+9,51.6
24.4e+9,50.3
24.5e+9,54.1
24.6e+9,52.0
24.7e+9,50.6
24.8e+9,50.0
24.9e+9,51.3
25.0e+9,51.0
25.1e+9,50.6
25.2e+9,48.3
25.3e+9,47.0
25.4e+9,46.1
25.5e+9,44.5
25.6e+9,43.6
25.7e+9,42.7
25.8e+9,41.0
25.9e+9,38.3
26.0e+9,35.6
26.1e+9,32.6
26.2e+9,29.8
26.3e+9,27.1
26.4e+9,23.5
26.5e+9,19.9
26.6e+9,16.2
26.7e+9,12.4
26.8e+9,8.4
26.9e+9,4.7
27.0e+9,2.6
27.1e+9,1.5
27.2e+9,1.3
27.3e+9,1.1
27.4e+9,1.0
27.5e+9,0.9
27.6e+9,0.8
27.7e+9,0.8
27.8e+9,0.8
27.9e+9,0.8
28.0e+9,0.8
28.1e+9,0.7
28.2e+9,0.7
28.3e+9,0.7
28.4e+9,0.7
28.5e+9,0.7
28.6e+9,0.7
28.7e+9,0.7
28.8e+9,0.5
28.9e+9,0.5
29.0e+9,0.5
29.1e+9,0.5
29.2e+9,0.7
29.3e+9,0.7
29.4e+9,0.7
29.5e+9,0.7
29.6e+9,0.7
29.7e+9,0.7
29.8e+9,0.7
29.9e+9,0.7
30.0e+9,0.7
30.1e+9,0.7
30.2e+9,0.7
30.3e+9,0.7
30.4e+9,0.7
30.5e+9,0.7
30.6e+9,0.8
30.7e+9,0.7
30.8e+9,0.7
30.9e+9,0.8
31.0e+9,0.8
31.1e+9,0.8
31.2e+9,0.9
31.3e+9,1.0
31.4e+9,1.2
31.5e+9,1.3
31.6e+9,1.6
31.7e+9,2.4
31.8e+9,4.4
31.9e+9,7.2
32.0e+9,10.6
32.1e+9,13.8
32.2e+9,17.7
32.3e+9,20.3
32.4e+9,23.2
32.5e+9,25.7
32.6e+9,28.2
32.7e+9,30.5
32.8e+9,32.7
32.9e+9,34.6
33.0e+9,36.1
33.1e+9,38.0
33.2e+9,39.2
33.3e+9,40.7
33.4e+9,41.9
33.5e+9,43.4
33.6e+9,45.1
33.7e+9,46.2
33.8e+9,47.1
33.9e+9,47.6
34.0e+9,49.4
34.1e+9,50.2
34.2e+9,52.4
34.3e+9,52.2
34.4e+9,50.9
34.5e+9,53.6
34.6e+9,52.6
34.7e+9,52.4
34.8e+9,52.1
34.9e+9,52.0
35.0e+9,51.6
35.1e+9,50.3
35.2e+9,49.7
35.3e+9,49.9
35.4e+9,50.5
35.5e+9,50.4
35.6e+9,51.2
35.7e+9,49.1
35.8e+9,48.4
35.9e+9,47.8
36.0e+9,80.0