lo2_hz,lo2_ghz,severity_rank,if1_hz,if1_mhz,worst_tone_freq_hz,worst_tone_freq_ghz,worst_tone_level_dbc,margin_to_spec_db,coincident,coincident_with_carrier_bin,has_unknown_contributors,unknown_contributors_count,unknown_combining_mode,spur_type,spur_type_raw,top_origin,top_stage_path,top_dataset_id,top_kind,top_expression,top_m,top_n,top_sign,top_dbc,top_lineage_row_indices
22000000000.0,22.0,1,2360000000.0,2360.0,28380000000.0,28.38,-55.551105006445894,-4.448894993554106,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-55.5511050064459,757
22000000000.0,22.0,2,2370000000.0,2370.0,28360000000.0,28.36,-55.74068603329696,-4.25931396670304,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-55.74068603329696,"757,764"
22000000000.0,22.0,3,2380000000.0,2380.0,28340000000.0,28.34,-56.13051616950682,-3.8694838304931807,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-56.13051616950682,"764,770"
22000000000.0,22.0,4,2300000000.0,2300.0,28500000000.0,28.5,-56.53195016094507,-3.4680498390549275,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-56.53195016094507,727
22000000000.0,22.0,5,2390000000.0,2390.0,28320000000.0,28.32,-56.71617259331518,-3.2838274066848214,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-56.71617259331517,770
22000000000.0,22.0,6,2210000000.0,2210.0,28680000000.0,28.68,-56.94412378174072,-3.0558762182592787,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-56.94412378174072,677
22000000000.0,22.0,7,2140000000.0,2140.0,28820000000.0,28.82,-56.976774401322075,-3.023225598677925,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-56.976774401322075,"632,641"
22000000000.0,22.0,8,2310000000.0,2310.0,28480000000.0,28.48,-56.98485661212075,-3.015143387879249,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-56.98485661212075,"727,735"
22000000000.0,22.0,9,2290000000.0,2290.0,28520000000.0,28.52,-57.00996935904424,-2.9900306409557587,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-57.00996935904424,"719,727"
22000000000.0,22.0,10,2350000000.0,2350.0,28400000000.0,28.4,-57.10261929748991,-2.897380702510091,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-57.10261929748991,"750,757"
22000000000.0,22.0,11,2220000000.0,2220.0,28660000000.0,28.66,-57.23921426767497,-2.760785732325033,True,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-57.25199024782148,"677,685"
22000000000.0,22.0,12,2130000000.0,2130.0,28840000000.0,28.84,-57.33020914323929,-2.669790856760713,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-57.33020914323928,"623,632"
22000000000.0,22.0,13,2200000000.0,2200.0,28700000000.0,28.7,-57.367049935931,-2.632950064069,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-57.367049935931,"668,677"
22000000000.0,22.0,14,2400000000.0,2400.0,28300000000.0,28.3,-57.43353562458458,-2.5664643754154213,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-57.43353562458457,"770,777"
22000000000.0,22.0,15,2440000000.0,2440.0,28220000000.0,28.22,-57.568738174938986,-2.4312618250610143,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-57.56873817493899,"791,798"
22000000000.0,22.0,16,2230000000.0,2230.0,28640000000.0,28.64,-57.58219573554227,-2.417804264457729,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-57.58219573554227,"685,694"
22000000000.0,22.0,17,2450000000.0,2450.0,28200000000.0,28.2,-57.652986572051546,-2.347013427948454,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-57.652986572051546,798
22000000000.0,22.0,18,2150000000.0,2150.0,28800000000.0,28.8,-57.693700819644256,-2.3062991803557438,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-57.693700819644256,641
22000000000.0,22.0,19,2240000000.0,2240.0,28620000000.0,28.62,-57.93493911831209,-2.065060881687913,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-57.93493911831209,694
22000000000.0,22.0,20,2430000000.0,2430.0,28240000000.0,28.24,-58.026804693131425,-1.9731953068685755,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-58.026804693131425,"784,791"
22000000000.0,22.0,21,2000000000.0,2000.0,29100000000.0,29.1,-58.05558169411961,-1.94441830588039,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-58.05558169411961,563
22000000000.0,22.0,22,2410000000.0,2410.0,28280000000.0,28.28,-58.11027997079721,-1.8897200292027918,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-58.11027997079721,"777,784"
22000000000.0,22.0,23,2190000000.0,2190.0,28720000000.0,28.72,-58.11959570014299,-1.8804042998570125,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-58.11959570014299,"659,668"
22000000000.0,22.0,24,2070000000.0,2070.0,28960000000.0,28.96,-58.141206279890795,-1.8587937201092046,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-58.141206279890795,"593,600"
22000000000.0,22.0,25,2320000000.0,2320.0,28460000000.0,28.46,-58.189798244091975,-1.8102017559080252,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-58.189798244091975,"735,743"
22000000000.0,22.0,26,2280000000.0,2280.0,28540000000.0,28.54,-58.256006578013825,-1.7439934219861755,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-58.256006578013825,"711,719"
22000000000.0,22.0,27,2080000000.0,2080.0,28940000000.0,28.94,-58.25715869692821,-1.742841303071792,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-58.25715869692821,"600,607"
22000000000.0,22.0,28,1990000000.0,1990.0,29120000000.0,29.12,-58.29567447508718,-1.704325524912818,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-58.29567447508718,"555,563"
22000000000.0,22.0,29,2420000000.0,2420.0,28260000000.0,28.26,-58.57283428728202,-1.4271657127179793,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-58.57283428728202,784
22000000000.0,22.0,30,2010000000.0,2010.0,29080000000.0,29.08,-58.63474622094182,-1.365253779058179,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-58.63474622094183,"563,571"
22000000000.0,22.0,31,2340000000.0,2340.0,28420000000.0,28.42,-58.63678917723635,-1.363210822763648,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-58.63678917723635,"743,750"
22000000000.0,22.0,32,1980000000.0,1980.0,29140000000.0,29.14,-58.639444486012536,-1.3605555139874639,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-58.639444486012536,"547,555"
22000000000.0,22.0,33,2120000000.0,2120.0,28860000000.0,28.86,-58.73442065661645,-1.2655793433835498,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-58.73442065661645,623
22000000000.0,22.0,34,2060000000.0,2060.0,28980000000.0,28.98,-58.83947845829661,-1.160521541703389,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-58.83947845829661,593
22000000000.0,22.0,35,1910000000.0,1910.0,29280000000.0,29.28,-58.92612232256866,-1.0738776774313408,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-58.92612232256866,516
22000000000.0,22.0,36,1970000000.0,1970.0,29160000000.0,29.16,-59.086891726895686,-0.9131082731043136,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.086891726895686,547
22000000000.0,22.0,37,2090000000.0,2090.0,28920000000.0,28.92,-59.18733570940881,-0.8126642905911865,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.18733570940882,607
22000000000.0,22.0,38,2160000000.0,2160.0,28780000000.0,28.78,-59.19888494925834,-0.8011150507416573,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.19888494925834,"641,650"
22000000000.0,22.0,39,2180000000.0,2180.0,28740000000.0,28.74,-59.246240856720235,-0.7537591432797655,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.24624085672024,659
22000000000.0,22.0,40,2250000000.0,2250.0,28600000000.0,28.6,-59.26242399875092,-0.7375760012490815,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.26242399875092,"694,703"
22000000000.0,22.0,41,1840000000.0,1840.0,29420000000.0,29.42,-59.315204094658974,-0.6847959053410264,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.315204094658974,"481,495"
22000000000.0,22.0,42,1900000000.0,1900.0,29300000000.0,29.3,-59.50757122422403,-0.49242877577597,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.50757122422403,"509,516"
22000000000.0,22.0,43,1770000000.0,1770.0,29560000000.0,29.56,-59.65495678761633,-0.34504321238367197,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.65495678761633,"443,451"
22000000000.0,22.0,44,2020000000.0,2020.0,29060000000.0,29.06,-59.6684162933148,-0.3315837066852012,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.6684162933148,"571,579"
22000000000.0,22.0,45,2170000000.0,2170.0,28760000000.0,28.76,-59.7204089901375,-0.2795910098625001,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.72040899013751,"650,659"
22000000000.0,22.0,46,1830000000.0,1830.0,29440000000.0,29.44,-59.72766595712567,-0.27233404287432705,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.72766595712567,"474,481"
22000000000.0,22.0,47,1920000000.0,1920.0,29260000000.0,29.26,-59.84482502290355,-0.15517497709645056,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.84482502290355,"516,523"
